session;task;date;position;dorsal;player;total_distance;minute_distance;num_dec_expl;num_acc_expl;distance_vrange2;distance_vrange3;distance_vrange1;player_load;hr_max;hid_intervals;max_acc;hsr;max_dec;max_speed;distance_vrange6;average_speed;num_acc;hmld_time;hmld;hmld_count;num_hids;num_dec;distance_vrange4;distance_vrange5;sprints;zone1_hsr_distance;num_hsr;zone2_hsr_distance;zone4_hsr_distance
Amistoso x Águilas;1a Parte;2024-08-03;defender/LTD;2.000;San Emeterio;5.249;104.533;63.000;66.000;1.565;1.652;0.689;0.000;96.000;3.002;4,575;0.215;-6,615;29.578;0.090;0.000;61.000;5.278;1.060;262.000;15.000;57.000;1.079;0.130;6.000;0.023;15.000;0.132;0.027
Amistoso x Águilas;1a Parte;2024-08-03;midfield/MC;5.000;Llonch;5.570;110.918;76.000;61.000;1.262;2.136;0.730;0.000;76.000;4.750;4,652;0.147;-6,874;27.131;0.048;0.000;58.000;5.223;0.975;273.000;10.000;68.000;1.256;0.099;4.000;0.010;10.000;0.109;0.000
Amistoso x Águilas;1a Parte;2024-08-03;midfield/MC;6.000;Julio;3.705;73.788;23.000;23.000;0.959;1.523;0.428;0.000;93.000;3.492;4,450;0.075;-6,023;25.201;0.017;0.000;44.000;2.533;0.511;122.000;7.000;25.000;0.709;0.067;2.000;0.000;7.000;0.031;0.000
Amistoso x Águilas;1a Parte;2024-08-03;forward/EI;7.000;Zequi;5.180;103.155;77.000;62.000;1.284;2.019;0.642;0.000;66.000;2.974;4,568;0.233;-7,650;28.103;0.082;0.000;71.000;5.667;1.133;284.000;16.000;58.000;0.916;0.153;6.000;0.000;16.000;0.074;0.016
Amistoso x Águilas;1a Parte;2024-08-03;forward/DC;8.000;Nsue;5.343;106.404;44.000;36.000;1.317;2.243;0.695;0.000;183.000;4.831;4,403;0.152;-6,153;28.578;0.049;0.000;63.000;4.167;0.828;205.000;10.000;52.000;0.883;0.103;3.000;0.000;10.000;0.058;0.000
Amistoso x Águilas;1a Parte;2024-08-03;forward/DC;9.000;Loca;1.707;34.000;20.000;19.000;0.521;0.727;0.236;0.000;0.000;2.025;4,996;0.017;-4,973;23.748;0.002;0.000;19.000;1.263;0.222;78.000;2.000;18.000;0.173;0.015;0.000;0.000;2.000;0.000;0.005
Amistoso x Águilas;1a Parte;2024-08-03;forward/EI;10.000;Borja M.;3.557;70.835;43.000;46.000;1.106;1.170;0.481;0.000;158.000;3.092;5,092;0.156;-6,540;30.814;0.087;0.000;39.000;3.615;0.717;175.000;10.000;37.000;0.490;0.068;6.000;0.011;10.000;0.029;0.000
Amistoso x Águilas;1a Parte;2024-08-03;defender/CDE;15.000;Álvaro;4.766;94.912;41.000;44.000;1.261;1.637;0.941;0.000;153.000;11.313;4,584;0.093;-5,062;26.083;0.036;0.000;41.000;3.497;0.646;177.000;5.000;46.000;0.704;0.057;3.000;0.031;5.000;0.061;0.000
Amistoso x Águilas;1a Parte;2024-08-03;defender/LTI;17.000;E. Jiménez;5.323;105.999;73.000;61.000;1.419;1.920;0.760;0.000;148.000;2.950;5,724;0.206;-6,302;28.459;0.089;0.000;65.000;5.390;1.087;266.000;15.000;52.000;0.954;0.124;6.000;0.019;15.000;0.070;0.060
Amistoso x Águilas;1a Parte;2024-08-03;midfield/MC;18.000;Burlamaqui;2.052;40.868;32.000;30.000;0.544;0.769;0.240;0.000;88.000;3.214;4,134;0.071;-5,661;25.447;0.025;0.000;27.000;2.082;0.406;119.000;5.000;25.000;0.299;0.052;2.000;0.000;5.000;0.033;0.000
Amistoso x Águilas;1a Parte;2024-08-03;defender/CDE;20.000;Miki Codina;4.761;94.800;45.000;60.000;1.144;1.670;0.911;0.000;0.000;3.157;4,402;0.181;-6,963;27.129;0.055;0.000;47.000;4.722;0.957;234.000;16.000;66.000;0.827;0.128;6.000;0.064;16.000;0.111;0.000
Amistoso x Águilas;1a Parte;2024-08-03;midfield/MP;22.000;S. Montero;5.470;108.934;60.000;50.000;1.409;2.189;0.686;0.000;149.000;2.035;4,144;0.157;-5,092;25.616;0.030;0.000;74.000;4.875;0.963;258.000;18.000;56.000;0.984;0.130;3.000;0.000;18.000;0.022;0.025
Amistoso x Águilas;2a Parte;2024-08-03;defender/CDE;3.000;Mendibe;4.866;90.782;45.000;32.000;1.151;1.639;1.084;0.000;199.000;6.171;4,956;0.066;-6,115;28.028;0.028;0.000;69.000;3.860;0.669;203.000;6.000;51.000;0.505;0.044;3.000;0.000;6.000;0.000;0.054
Amistoso x Águilas;2a Parte;2024-08-03;defender/CDE;4.000;A. Hernández;4.925;91.893;65.000;57.000;1.194;1.878;0.933;0.000;121.000;4.784;5,233;0.138;-5,478;25.535;0.029;0.000;73.000;4.897;0.890;258.000;9.000;54.000;0.744;0.108;2.000;0.030;9.000;0.000;0.028
Amistoso x Águilas;2a Parte;2024-08-03;midfield/MC;5.000;Llonch;0.058;1.076;0.000;0.000;0.000;0.000;0.058;0.000;107.000;0.000;-∞;0.000;∞;3.067;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Amistoso x Águilas;2a Parte;2024-08-03;forward/EI;7.000;Zequi;2.448;45.678;42.000;31.000;0.611;0.916;0.471;0.000;88.000;2.024;5,193;0.076;-5,607;26.848;0.030;0.000;39.000;2.932;0.526;147.000;5.000;30.000;0.311;0.048;3.000;0.005;5.000;0.028;0.000
Amistoso x Águilas;2a Parte;2024-08-03;forward/DC;9.000;Loca;4.653;86.813;43.000;46.000;1.406;1.591;0.783;0.000;0.000;3.348;4,466;0.179;-6,385;29.907;0.090;0.000;55.000;3.975;0.801;203.000;13.000;46.000;0.642;0.091;6.000;0.059;13.000;0.121;0.000
Amistoso x Águilas;2a Parte;2024-08-03;midfield/MC;18.000;Burlamaqui;4.795;89.463;70.000;48.000;1.252;1.729;0.984;0.000;169.000;5.273;4,601;0.041;-6,799;25.896;0.008;0.000;69.000;4.450;0.755;250.000;5.000;58.000;0.680;0.035;1.000;0.000;5.000;0.002;0.014
Amistoso x Águilas;2a Parte;2024-08-03;defender/CDE;20.000;Miki Codina;3.421;63.832;43.000;40.000;0.846;1.215;0.654;0.000;0.000;3.315;4,061;0.094;-5,503;25.917;0.028;0.000;37.000;3.037;0.573;156.000;8.000;28.000;0.574;0.070;2.000;0.000;8.000;0.037;0.004
Amistoso x Águilas;2a Parte;2024-08-03;forward/EI;21.000;Sito;4.725;88.155;56.000;47.000;1.632;1.465;0.916;0.000;125.000;4.327;4,936;0.105;-5,666;28.172;0.039;0.000;60.000;4.078;0.745;215.000;9.000;43.000;0.570;0.069;3.000;0.007;9.000;0.028;0.004
